id,last_name,first_name,gender,age,height,weight
9920,Lewis,Maria,F,53,155,89
4887,Lee,Jessica,F,52,181,86
3556,Lopez,Nicole,F,31,157,58
6954,Hernandez,Kevin,M,57,166,55
6141,Young,Laura,F,63,192,66
1978,Lee,Thomas,M,60,168,86
5886,Walker,Matthew,M,30,153,52
9279,Moore,Rebecca,F,59,157,83
3318,Lewis,Patricia,F,37,154,46
9521,White,Richard,M,50,177,48
6030,Johnson,Christopher,M,20,156,49
6893,White,Michelle,F,52,170,61
1923,White,Thomas,M,45,184,90
9281,Rodriguez,Rebecca,F,32,152,80
4046,Lewis,Christopher,M,36,176,47
1537,Moore,Emily,F,51,161,83
1320,Taylor,Melissa,F,48,154,58
8853,Anderson,Thomas,M,64,173,50
8289,Rodriguez,John,M,32,181,81
3641,Thompson,Laura,F,41,176,56
5630,Smith,Elizabeth,F,54,172,84
7549,Williams,Carlos,M,47,161,49
6189,Brown,Emily,F,59,156,49
4211,Robinson,Laura,F,47,194,72
2735,Robinson,Lisa,F,39,172,96
1645,Hernandez,Richard,M,44,194,82
5760,Johnson,David,M,43,160,54
6706,Allen,Robert,M,56,191,71
7506,Anderson,Thomas,M,39,151,74
8385,Thomas,David,M,25,195,48
4586,Brown,Anthony,M,22,170,96
5260,Johnson,Daniel,M,62,152,88
3819,Allen,Daniel,M,38,155,55
5892,Lee,Michael,M,31,188,65
1071,Lewis,Maria,F,24,152,99
5291,Moore,Richard,M,21,160,76
2359,Robinson,Sarah,F,19,184,66
1593,Rodriguez,Jose,M,29,170,55
9308,Gonzalez,Michael,M,62,188,70
8034,Wilson,Kevin,M,25,156,45
